value,label
61,"Amadasi"
14,"Amaddio"
694,"Amadei"
30,"Amadelli"
44,"Amadesi"
72,"Amadi"
78,"Amadini"
678,"Amadio"
21,"Amadore"
945,"Amadori"
184,"Amaducci"
103,"Amaduzzi"
35,"Amagliani"
57,"Amaglio"
25,"Amalberti"
128,"Amalfitano"
28,"Amandola"
9,"Amaniera"
151,"Amante"
1,"Amante'"
64,"Amantea"
35,"Amanti"
67,"Amantia"
127,"Amantini"
34,"Amaolo"
97,"Amara"
21,"Amaradio"
108,"Amarante"
35,"Amaranti"
52,"Amaranto"
22,"Amaretti"
124,"Amari"
20,"Amarilli"
97,"Amaro"
18,"Amaroli"
20,"Amasio"
829,"Amati"
21,"Amatiello"
4424,"Amato"
52,"Amatore"
121,"Amatori"
207,"Amatucci"
1,"Amatucci-de"
156,"Amatulli"
28,"Amatuzzo"
2,"Ambaglio"
28,"Ambanelli"
23,"Ambiveri"
28,"Amboldi"
62,"Amboni"
137,"Ambra"
21,"Ambrassa"
26,"Ambriola"
39,"Ambrogetti"
44,"Ambroggi"
40,"Ambroggio"
343,"Ambrogi"
60,"Ambrogiani"
48,"Ambrogini"
393,"Ambrogio"
29,"Ambrogioni"
49,"Ambrosanio"
32,"Ambrosano"
21,"Ambrosca"
79,"Ambrosecchia"
50,"Ambroselli"
11,"Ambroset"
293,"Ambrosetti"
954,"Ambrosi"
18,"Ambrosia"
42,"Ambrosiani"
32,"Ambrosiano"
53,"Ambrosin"
1016,"Ambrosini"
719,"Ambrosino"
1270,"Ambrosio"
113,"Ambrosioni"
75,"Ambroso"
42,"Ambrosoli"
89,"Ambrosone"
54,"Ambrosoni"
61,"Ambruosi"
63,"Ambruoso"
1,"Amcsc"
65,"Ameglio"
28,"Amelia"
171,"Amelio"
36,"Amella"
94,"Amelotti"
873,"Amendola"
80,"Amendolagine"
114,"Amendolara"
48,"Amendolia"
338,"Amenta"
4,"Ameraldi"
51,"Ameri"
3,"Ameri'"
46,"Americo"
89,"Amerighi"
81,"Amerini"
301,"Amerio"
37,"Amerise"
33,"Ameruoso"
117,"Ametrano"
19,"Ametta"
20,"Amianto"
61,"Amicabile"
65,"Amicarelli"
741,"Amici"
885,"Amico"
143,"Amicone"
20,"Amiconi"
26,"Amicosante"
140,"Amicucci"
147,"Amidei"
120,"Amighetti"
21,"Amighini"
144,"Amigoni"
36,"Amione"
80,"Amirante"
106,"Amisano"
35,"Amista"
1,"Amista'"
53,"Amistadi"
242,"Amitrano"
152,"Ammannati"
22,"Ammassari"
28,"Ammatuna"
95,"Ammaturo"
25,"Ammazzalorso"
24,"Ammazzini"
299,"Ammendola"
76,"Ammendolia"
36,"Ammirabile"
264,"Ammirati"
69,"Ammirato"
36,"Ammoscato"
35,"Amoddio"
114,"Amodei"
598,"Amodeo"
699,"Amodio"
38,"Amoia"
20,"Amolini"
25,"Amoni"
36,"Amonini"
19,"Amonti"
32,"Amorati"
699,"Amore"
95,"Amorelli"
30,"Amorello"
20,"Amoresano"
124,"Amorese"
195,"Amoretti"
32,"Amorfini"
53,"Amori"
33,"Amorico"
101,"Amoriello"
68,"Amorini"
44,"Amorino"
37,"Amormino"
32,"Amorosa"
164,"Amorosi"
1258,"Amoroso"
32,"Amorotti"
85,"Amort"
900,"Amoruso"
19,"Amparore"
20,"Ampola"
86,"Ampollini"
24,"Ampolo"
57,"Amprimo"
23,"Amprino"
55,"Amura"
21,"Amuso"
146,"Anaclerio"
311,"Anania"
22,"Anardu"
9,"Anarratone"
618,"Anastasi"
231,"Anastasia"
463,"Anastasio"
1,"Anastasopulos"
7,"Anastrelli"
33,"Anatrella"
71,"Anatriello"
20,"Anatrini"
205,"Ancarani"
60,"Ancellotti"
181,"Anceschi"
37,"Anchisi"
22,"Ancillai"
34,"Ancilli"
196,"Ancillotti"
25,"Ancilotti"
32,"Ancilotto"
22,"Ancis"
508,"Ancona"
38,"Anconelli"
56,"Anconetani"
251,"Ancora"
69,"Andalo"
225,"Andaloro"
4,"Anderboni"
201,"Anderlini"
56,"Anderloni"
36,"Anderlucci"
7,"Andi"
39,"Andidero"
23,"Andina"
72,"Ando"
29,"Andolfato"
72,"Andolfatto"
290,"Andolfi"
147,"Andolfo"
242,"Andolina"
31,"Andorlini"
81,"Andorno"
28,"Andracchio"
36,"Andraghetti"
98,"Andreacchio"
28,"Andreana"
27,"Andreanelli"
785,"Andreani"
103,"Andreano"
4,"Andreano'"
112,"Andreasi"
114,"Andreassi"
40,"Andreatini"
48,"Andreato"
401,"Andreatta"
29,"Andreatti"
41,"Andreazzoli"
42,"Andreella"
63,"Andreello"
160,"Andreetta"
44,"Andreetti"
100,"Andreetto"
538,"Andreini"
24,"Andrello"
160,"Andrenacci"
30,"Andrenelli"
33,"Andreocci"
155,"Andreola"
171,"Andreoletti"
1738,"Andreoli"
11,"Andreolini"
20,"Andreolla"
150,"Andreolli"
110,"Andreone"
672,"Andreoni"
13,"Andreos"
28,"Andreotta"
914,"Andreotti"
30,"Andreottola"
585,"Andreozzi"
31,"Andresini"
288,"Andretta"
26,"Andretti"
52,"Andretto"
59,"Andreuccetti"
328,"Andreucci"
21,"Andreussi"
47,"Andreutti"
46,"Andreuzzi"
64,"Andria"
67,"Andrian"
334,"Andriani"
72,"Andriano"
10,"Andriano'"
21,"Andricciola"
21,"Andrietti"
2,"Andrieux"
55,"Andrighetti"
83,"Andrighetto"
96,"Andrini"
118,"Andriola"
23,"Andrioletti"
111,"Andrioli"
108,"Andriollo"
361,"Andriolo"
1,"Andriolo-"
20,"Andrione"
47,"Andriotto"
57,"Andrisano"
60,"Andriulli"
70,"Andriulo"
27,"Andriuolo"
83,"Andronaco"
24,"Androni"
119,"Andronico"
84,"Andruccioli"
48,"Andrulli"
19,"Andrusiani"
365,"Anedda"
16,"Aneli"
14,"Anella"
955,"Anelli"
340,"Anello"
6,"Anellucci"
96,"Anese"
22,"Anessi"
165,"Anfossi"
98,"Anfosso"
221,"Anfuso"
31,"Angaramo"
138,"Angarano"
51,"Angaroni"
23,"Angelantoni"
52,"Angelastri"
38,"Angelastro"
205,"Angelelli"
190,"Angeleri"
657,"Angeletti"
1640,"Angeli"
86,"Angelicchio"
33,"Angelicola"
79,"Angelilli"
49,"Angelillis"
269,"Angelillo"
19,"Angelina"
25,"Angelinetta"
2842,"Angelini"
471,"Angelino"
26,"Angelisanti"
103,"Angella"
137,"Angellotti"
26,"Angellotto"
385,"Angelone"
814,"Angeloni"
28,"Angelosante"
24,"Angelosanto"
154,"Angelotti"
222,"Angelozzi"
891,"Angelucci"
29,"Angeluzzi"
63,"Angerame"
60,"Angerer"
61,"Angeretti"
22,"Angeri"
17,"Angerillo"
46,"Anghelone"
24,"Anghilante"
186,"Anghileri"
29,"Anghinelli"
40,"Anghinetti"
29,"Anghinolfi"
50,"Anghinoni"
45,"Angiari"
23,"Angieri"
34,"Angilella"
10,"Angilello"
263,"Angileri"
57,"Angilletta"
22,"Angino"
42,"Angio"
111,"Angioi"
51,"Angiola"
14,"Angiolella"
21,"Angiolelli"
213,"Angioletti"
83,"Angioli"
27,"Angiolilli"
107,"Angiolillo"
34,"Angiolin"
447,"Angiolini"
19,"Angiolino"
24,"Angioloni"
24,"Angiolucci"
121,"Angione"
360,"Angioni"
21,"Angiono"
172,"Angiulli"
41,"Angiuoni"
105,"Anglani"
39,"Angoli"
46,"Angonese"
232,"Angotti"
15,"Angradi"
21,"Angrilli"
246,"Angrisani"
74,"Angrisano"
26,"Anguillesi"
36,"Anguissola"
38,"Ania"
75,"Anibaldi"
57,"Aniballi"
24,"Aniceto"
246,"Anichini"
39,"Anicito"
132,"Aniello"
75,"Anile"
1,"Animazione"
31,"Animobono"
27,"Anitori"
31,"Annacondia"
72,"Annaloro"
29,"Annaratone"
38,"Annarelli"
31,"Annaro"
100,"Annarumma"
7,"Annarummo"
24,"Annecca"
42,"Annecchiarico"
66,"Annecchini"
32,"Annecchino"
40,"Annechini"
329,"Annese"
35,"Annessi"
26,"Annetta"
104,"Anni"
38,"Annibaldi"
106,"Annibale"
23,"Annibaletti"
198,"Annibali"
22,"Annibalini"
78,"Anniballi"
239,"Annicchiarico"
21,"Annicelli"
23,"Annichiarico"
28,"Annichini"
34,"Annigoni"
77,"Annino"
65,"Annis"
19,"Annone"
382,"Annoni"
86,"Annoscia"
132,"Annovazzi"
9,"Annuario"
13,"Annucci"
22,"Annulli"
1308,"Annunziata"
63,"Annunziato"
22,"Annuzzi"
42,"Anobile"
42,"Anoe"
251,"Ansaldi"
116,"Ansaldo"
92,"Ansalone"
368,"Ansaloni"
57,"Anselmetti"
1445,"Anselmi"
49,"Anselmini"
41,"Anselmino"
517,"Anselmo"
21,"Ansevini"
25,"Ansovini"
50,"Ansuini"
52,"Anteghini"
119,"Antelmi"
3,"Antelmy"
294,"Antenucci"
22,"Antetomaso"
65,"Antezza"
39,"Anti"
9,"Antica"
103,"Antichi"
24,"Antici"
266,"Antico"
69,"Anticoli"
26,"Antidormi"
35,"Antifora"
94,"Antiga"
80,"Antignani"
65,"Antignano"
121,"Antimi"
2,"Antincendio"
24,"Antini"
13,"Antino"
46,"Antinolfi"
381,"Antinori"
105,"Antinoro"
53,"Antinozzi"
106,"Antinucci"
41,"Antista"
193,"Antoci"
21,"Antogiovanni"
64,"Antognazza"
39,"Antognelli"
57,"Antognetti"
32,"Antognini"
108,"Antognoli"
61,"Antognoni"
85,"Antognozzi"
58,"Antola"
609,"Antolini"
46,"Antolino"
78,"Antona"
650,"Antonacci"
43,"Antonaccio"
259,"Antonaci"
49,"Antonangeli"
35,"Antonante"
18,"Antonaz"
31,"Antonazzi"
224,"Antonazzo"
1,"Antoncic"
29,"Antonecchia"
32,"Antonel"
22,"Antonella"
2952,"Antonelli"
86,"Antonellini"
32,"Antonellis"
539,"Antonello"
312,"Antonetti"
29,"Antongiovanni"
201,"Antoni"
46,"Antoniacci"
19,"Antoniacomi"
38,"Antoniali"
58,"Antoniani"
562,"Antoniazzi"
29,"Antonica"
252,"Antonicelli"
108,"Antonielli"
117,"Antoniello"
275,"Antonietti"
46,"Antonilli"
29,"Antoninetti"
2093,"Antonini"
204,"Antonino"
51,"Antonio"
57,"Antoniol"
752,"Antonioli"
109,"Antoniolli"
220,"Antonioni"
174,"Antoniotti"
28,"Antoniozzi"
47,"Antoniucci"
33,"Antoniutti"
1079,"Antonucci"
150,"Antonuccio"
96,"Antonutti"
22,"Antonuzzo"
37,"Antozzi"
14,"Antuoni"
39,"Antuono"
36,"Anversa"
5,"Anza"
19,"Anza'"
119,"Anzaldi"
26,"Anzaldo"
537,"Anzalone"
61,"Anzanello"
250,"Anzani"
25,"Anzano"
2,"Anzante"
36,"Anzelini"
78,"Anzellotti"
5,"Anzera"
20,"Anzevino"
34,"Anziano"
62,"Anzil"
20,"Anzile"
26,"Anziliero"
32,"Anzilotti"
86,"Anzini"
28,"Anzisi"
121,"Anzivino"
52,"Anzola"
13,"Anzoletti"
105,"Anzolin"
25,"Anzoni"
39,"Anzovino"
48,"Anzuini"
39,"Aondio"
23,"Aonzo"
1,"Aostalli"
1,"Ap"
95,"Aparo"
16,"Aperti"
869,"Apicella"
102,"Apolito"
44,"Apollaro"
11,"Apollinari"
38,"Apollo"
245,"Apolloni"
13,"Apollonia"
358,"Apollonio"
28,"Apone"
41,"Aponte"
21,"Aporti"
219,"Apostoli"
101,"Apostolo"
19,"Apparuti"
42,"Appella"
147,"Appendino"
24,"Appetecchia"
39,"Appetito"
170,"Appiani"
51,"Appiano"
22,"Appierto"
41,"Appignanesi"
25,"Appignani"
21,"Appino"
15,"Appiotti"
1,"Appleroth"
5,"Appoggetti"
176,"Appolloni"
14,"Appollonio"
59,"Appoloni"
20,"Appolonia"
13,"Apponi"
25,"Appugliese"
19,"Aprano"
29,"Aprato"
87,"Aprigliano"
1003,"Aprile"
20,"Aprovitola"
147,"Apruzzese"
51,"Apruzzi"
323,"Apuzzo"
90,"Aquaro"
166,"Aquila"
106,"Aquilano"
42,"Aquilante"
115,"Aquilanti"
36,"Aquilia"
76,"Aquilina"
159,"Aquilini"
255,"Aquilino"
19,"Aquilio"
48,"Aquilone"
480,"Aquino"
149,"Ara"
104,"Arabia"
49,"Arace"
79,"Aracri"
32,"Arado"
20,"Aradori"
3,"Aragnetti"
112,"Aragno"
253,"Aragona"
34,"Aragone"
21,"Aragoni"
39,"Aragosa"
21,"Araimo"
211,"Araldi"
25,"Araldo"
20,"Aralla"
1,"Arambage"
269,"Aramini"
107,"Aramu"
185,"Arancio"
55,"Araneo"
32,"Arangino"
78,"Arangio"
38,"Aranzulla"
20,"Arasi"
299,"Arata"
29,"Aratari"
71,"Arati"
89,"Arato"
33,"Aravecchia"
19,"Arbasetti"
37,"Arbasi"
34,"Arbini"
28,"Arbitrio"
95,"Arbizzani"
36,"Arboit"
108,"Arbore"
30,"Arborea"
30,"Arborio"
24,"Arbuatti"
23,"Arbucci"
67,"Arcadi"
56,"Arcadio"
44,"Arcadipane"
96,"Arcaini"
34,"Arcaleni"
123,"Arcamone"
48,"Arcangeletti"
751,"Arcangeli"
28,"Arcangeloni"
65,"Arcangioli"
22,"Arcano"
46,"Arcara"
30,"Arcarese"
286,"Arcari"
9,"Arcaria"
144,"Arcaro"
117,"Arcella"
21,"Arcellaschi"
98,"Arcelli"
123,"Arceri"
32,"Arcerito"
27,"Arces"
105,"Arcese"
37,"Arch"
20,"Archenti"
409,"Archetti"
28,"Archi"
30,"Archidiacono"
10,"Archieri"
35,"Archilletti"
29,"Archina"
21,"Archinti"
34,"Architetto"
650,"Arcidiacono"
56,"Arciello"
291,"Arcieri"
87,"Arciero"
55,"Arcifa"
86,"Arcioni"
6,"Arcisto"
34,"Arciuolo"
46,"Arco"
20,"Arcobelli"
78,"Arcodia"
74,"Arcoleo"
66,"Arcolin"
34,"Arcolini"
28,"Arcone"
70,"Arcopinto"
42,"Arcoraci"
28,"Arcoria"
26,"Arcozzi"
71,"Arcucci"
651,"Arcuri"
54,"Arcuti"
51,"Ardagna"
23,"Ardanese"
118,"Ardenghi"
54,"Ardente"
56,"Ardenti"
113,"Ardesi"
52,"Ardia"
10,"Ardiani"
19,"Ardigo"
108,"Ardigo'"
6,"Ardilli"
45,"Ardillo"
27,"Ardinghi"
48,"Ardini"
42,"Ardino"
34,"Ardiri"
128,"Ardissone"
22,"Ardit"
46,"Ardita"
89,"Arditi"
580,"Ardito"
75,"Ardizio"
51,"Ardizzi"
62,"Ardizzoia"
51,"Ardizzon"
391,"Ardizzone"
122,"Ardizzoni"
47,"Ardoino"
178,"Ardolino"
56,"Ardone"
23,"Ardore"
59,"Ardovini"
47,"Ardovino"
152,"Ardu"
22,"Arduca"
863,"Arduini"
276,"Arduino"
23,"Ardusso"
43,"Arecchi"
154,"Arecco"
3,"Arellaro"
15,"Arelli"
2653,"Arena"
43,"Arenella"
23,"Areniello"
41,"Aresca"
22,"Aresco"
99,"Arese"
81,"Aresta"
34,"Aretano"
32,"Aretini"
28,"Aretino"
45,"Arezzi"
60,"Arezzini"
81,"Arezzo"
34,"Arfanotti"
51,"Arfelli"
29,"Arfilli"
23,"Arfinengo"
51,"Arfini"
37,"Arfuso"
34,"Argalia"
43,"Arganese"